X,train_err,train_unc,test_err,test_unc,train_r2_mean,train_r2_std,test_r2_mean,test_r2_std
16,0.06250053699889005,0.0495575349876956,0.7110410677402923,0.38346131677697276,0.9930838129461478,0.012659943743516287,0.7017184876420977,0.1880555299010872
32,0.14083372512383874,0.045880088643361724,0.49520776434481784,0.2043666250873514,0.9791573340748916,0.013967650218297082,0.7913799783940079,0.14487623379966708
48,0.15497433118367177,0.028682735220297854,0.3152899203997795,0.09200370024799856,0.975412889608794,0.00946568443821551,0.9057147867711106,0.06522788215882701
64,0.1697834452545603,0.021341803063054308,0.2634266056614248,0.03799767395602532,0.9715806404817654,0.007297358730598271,0.9335927661518896,0.022794365522905095
80,0.16651749983666897,0.01753953541590852,0.24365313929286858,0.024834370207684572,0.9733145162962923,0.00549928323758543,0.9422268020390457,0.015295197200293159
96,0.17389090393129739,0.01679957372009643,0.22949500206997175,0.022357272036611413,0.9702146943327077,0.005950950116920759,0.9501729457914123,0.010641572094383956
112,0.17665293151900738,0.013160821984341698,0.2250988127779773,0.01859315503338757,0.9703513981933247,0.004291513461698014,0.9504987094389314,0.01025048024739404
128,0.18256649609527031,0.010751824609793617,0.21921180729809328,0.021439261666450115,0.9685210947758491,0.0034385364389224967,0.9522090670882567,0.00922190266353027
144,0.18136281636042356,0.009547887200841227,0.21601625835657604,0.026348917644281104,0.9683068125253277,0.0034331029338767888,0.9540940892743517,0.01161388855336728
160,0.1833591964747353,0.006954589334631236,0.21304664936205175,0.03587033857641606,0.9679738516097605,0.002533503513514812,0.9530624387648206,0.01718125216368765
176,0.18410299177778214,0.004239197367492697,0.22294786851823176,0.045831957107711874,0.9676525311874193,0.0017131907441558763,0.9455759659082039,0.022095568547171093
192,0.1857234045271183,0.0007836087876068687,nan,nan,0.9672748105357976,0.0004669409130724453,nan,nan
