X,train_err,train_unc,test_err,test_unc,train_r2_mean,train_r2_std,test_r2_mean,test_r2_std
32,0.05558798951755437,0.031094885438281678,0.6237493386895904,0.19461372912592179,0.9988637043012727,0.0013523278995218441,0.8891284872152347,0.05611615897723926
64,0.07470295631228238,0.02846452991999573,0.4893500212034405,0.09871323766523314,0.998100329780448,0.0013686706267938028,0.9305090862363354,0.027947312614224524
96,0.07827933610049607,0.024332332732899673,0.43161386090718074,0.09468345178480954,0.9980606984180045,0.0011779522264684014,0.9452923306394085,0.024146173330078055
128,0.08956136595367091,0.02444334429978468,0.42326938241570816,0.10183853218017316,0.9975600933936096,0.0013679774646768762,0.9488952425833937,0.022576603625205426
160,0.09994534004686681,0.022299089727165003,0.4176994468195457,0.10032114048093284,0.9970785318860345,0.0013077892588151821,0.9489242488978704,0.025691880916398915
192,0.09942886897768478,0.02256021193594436,0.3363539712653258,0.07837888618100125,0.997080610929658,0.001382059704044005,0.9668677833286935,0.014988740158181692
224,0.09619498105909682,0.013658552804017397,0.3296133549989248,0.08355507568677178,0.997323584776051,0.0007401387602544808,0.9680791567821599,0.015764032825685975
256,0.0914437264457449,0.013348841063532867,0.2895109299559525,0.07606891460201536,0.9975880320783044,0.0007365888979895005,0.975417998186009,0.012450938174440217
288,0.0846478503970542,0.012391768812946739,0.24509655556749974,0.055538096752755235,0.9979280905523996,0.0005922578861688817,0.9820986459443979,0.008086946336587172
320,0.07832382983069562,0.009523777270671161,0.2103915875890748,0.05209782528241981,0.9982324546352932,0.0004357867026052006,0.9860663981488834,0.007957920073285652
352,0.07804872074456912,0.011008047368713011,0.20059085672196617,0.05217848846949733,0.9982351143361571,0.0004972868506308574,0.9862807876294489,0.01495560695614044
384,0.07507208483020424,0.007010812458194793,nan,nan,0.9983901201094072,0.00029940980625493076,nan,nan
