ID,Unnamed: 0,MagpieData avg_dev GSvolume_pa,MatscholarElementData mean embedding 54,MatscholarElementData std_dev embedding 116,MatscholarElementData std_dev embedding 155,MatscholarElementData mean embedding 4,PymatgenData mean mendeleev_no,MatscholarElementData std_dev embedding 136,MatscholarElementData std_dev embedding 153,MatscholarElementData mean embedding 140,MatscholarElementData mean embedding 170,H1N4H1,H1N3H1,H1N3C3,N3C3N3,N3C3H1,H1C3C3,C3C3N3,C3N3C3,H1C4H1,H1C4C4,C4C4C4,C4C4N4,H1C4N4,C4N4H1,N4N3H1,H1N4N3,C4N4C4,H1N4O2,N4O2H1,C3C4H1,C4C3N3,Ymean
0,0,3.0929999999999995,0.0093135013245046,0.0355454656986483,0.0728085017029395,0.0625413072605927,100.26666666666668,0.0180079463988397,0.0618715940038523,-0.0031922335581233,-0.0572083984812099,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3636363636363637,0.4545454545454546,0.0,0.0909090909090909,0.1818181818181818,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.828244444444445
2,2,3.5467777777777774,0.0098608279290298,0.0520988339313138,0.0746306797064803,0.0620549606780211,100.13333333333334,0.0190913502300179,0.0620935031605981,-0.0013090468477457,-0.0589989319443702,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3636363636363637,0.4545454545454546,0.0,0.0909090909090909,0.1818181818181818,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.332775000000002
3,3,7.037000000000001,0.0201505810488015,0.0681632463308915,0.0617824380386292,0.0565024671455224,99.66666666666669,0.0172164062853447,0.0657334980419209,0.0147633067021767,-0.0703962182005246,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3636363636363637,0.4545454545454546,0.0,0.0909090909090909,0.1818181818181818,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.15051
4,4,7.950777777777777,0.0256536543834954,0.0809254555777915,0.064639259295433,0.0515706939001878,99.6,0.0174071234935152,0.0662780469984541,0.0131416867176691,-0.068558831512928,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3636363636363637,0.4545454545454546,0.0,0.0909090909090909,0.1818181818181818,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7704
5,5,7.490777777777778,0.0206979076533267,0.076075057407263,0.0647021171763383,0.0560161205629507,99.53333333333332,0.0195783915936374,0.0659168114753018,0.0166464934125542,-0.0721867516636848,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3636363636363637,0.4545454545454546,0.0,0.0909090909090909,0.1818181818181818,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.17995
6,6,8.365666666666668,0.0250561813823878,0.0699035452007788,0.0666327786198637,0.0466746074457963,99.46666666666668,0.0131230204774151,0.0832420846837054,-0.0033790136066575,-0.0653422591586907,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3636363636363637,0.4545454545454546,0.0,0.0909090909090909,0.1818181818181818,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5335636363636365
7,7,9.279444444444444,0.0305592547170817,0.0822698783783457,0.0695888701675937,0.0417428342004617,99.4,0.0133354209781106,0.0834868919359882,-0.0050006335911651,-0.0635048724710941,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3636363636363637,0.4545454545454546,0.0,0.0909090909090909,0.1818181818181818,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1716250000000006
8,8,8.819444444444445,0.0256035079869131,0.0775337233734419,0.0690021125945388,0.0461882608632246,99.33333333333331,0.0158351062092257,0.0833095511168199,-0.0014958268962799,-0.0671327926218509,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3636363636363637,0.4545454545454546,0.0,0.0909090909090909,0.1818181818181818,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5527500000000005
9,9,12.059333333333337,0.0271839207969605,0.081177548072683,0.0800760741765991,0.0501340461273988,99.26666666666668,0.0095189333346784,0.1088857398871206,-0.0132528336097796,-0.057777098317941,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3636363636363637,0.4545454545454546,0.0,0.0909090909090909,0.1818181818181818,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8891500000000003
10,10,13.06448888888889,0.0326869941316545,0.0913060704411707,0.0831190710912787,0.0452022728820641,99.2,0.0097261983571794,0.1088933178574205,-0.0148744535942872,-0.0559397116303443,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3636363636363637,0.4545454545454546,0.0,0.0909090909090909,0.1818181818181818,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5906583333333333
