X,train_err,train_unc,test_err,test_unc
16,0.24894171895988207,0.043818353654954685,0.5133832744298849,0.14031616357800933
32,0.22302641776405557,0.02494769452271782,0.3481164801514521,0.04594309350877976
48,0.22083612824807045,0.02475375173542913,0.3077092832494883,0.032645866886982546
64,0.22078389344683622,0.022706256963895433,0.28863326733579525,0.027712082292113624
80,0.2178644684180722,0.020067651863702043,0.2773047846868911,0.02690150101993648
96,0.22063757536264259,0.01598886850809624,0.2736210009460489,0.030065379325511666
112,0.2186656759018264,0.011486795798709388,0.2631003692736833,0.03219754677729192
128,0.21805462950691987,0.010314107186522776,0.25267970545826546,0.03351661294536369
144,0.21244273933982283,0.007301140548003853,0.2508615481773459,0.0326681049701743
160,0.21147218802289394,0.006932075633059961,0.23581196442712232,0.049035221770038204
176,0.20891820760851693,0.0061789534970022085,0.2411506071771288,0.06095038120119107
