REF-0,ML-pred-0
3.7516,3.7948909
3.1793333333333336,3.2117374
3.654363636363637,3.6394153
5.38732,5.27097
3.4227333333333334,3.819414
3.371377777777778,3.5907207
3.220966666666667,3.3713255
4.2422,4.3894405
5.57346923076923,5.7484717
3.14595,3.2259672
3.7652,3.9725256
5.373683333333335,5.4502697
2.8891500000000003,2.7757888
3.3174153846153844,3.2095246
3.2372,3.3685758
3.4045181818181818,3.378737
3.5467538461538464,3.5236819
2.92575,2.552576
3.5660833333333333,3.4992056
3.01895,3.081307
5.816949999999999,5.7476816
4.188300000000001,4.4236655
5.320033333333333,5.428044
2.5060333333333333,2.7288845
4.066766666666667,3.9035995
4.25625,4.377851
6.324200000000001,5.659123
2.500672727272727,2.500611
2.8908083333333328,2.9120946
4.295544444444444,4.239037
4.17995,4.214052
3.6689909090909087,3.6577759
6.1186428571428575,5.842691
5.323177777777778,5.30535
2.450466666666667,2.7023547
3.793155555555556,3.5897222
4.15051,4.1759334
6.236177777777778,6.060598
3.713471428571428,3.653206
3.1843142857142857,3.299892
3.2870666666666666,3.4285178
4.1789,3.9981961
4.849266666666667,4.964185
2.7686,2.7033975
2.9061,2.9441247
2.6461,2.7592945
3.954278571428572,3.84176
2.6617818181818182,2.6724396
3.4321,3.544884
2.46685,2.5137079
3.605007692307692,3.6384165
2.9148333333333336,2.7584743
3.33158,3.4289618
3.6781,3.5632815
2.906385714285715,3.20368
2.8114166666666667,2.8954298
4.271841666666667,4.290476
4.163375,4.3677683
3.149657142857144,3.1284902
2.984866666666667,2.8634
3.2537666666666665,3.5156455
3.7255,3.8507879
5.6831,5.246722
2.9558266666666664,2.833745
2.932975,3.065389
2.022366666666666,2.3943055
5.81545,5.6032267
2.9539833333333334,2.9684286
3.446625,3.763517
3.7770666666666655,3.642953
3.90713,3.7930655
3.2079428571428568,3.0109048
3.714833333333333,3.8293393
4.9963555555555565,4.96837
3.957566666666666,3.9713607
3.9362,4.0100164
5.525919999999999,5.444643
4.087566666666667,4.1220074
5.728999999999999,5.262833
2.64405,2.7649262
5.2602,5.1908255
2.5906583333333333,2.4060795
2.6883,2.718518
2.86345,2.7368379
3.16810625,3.0996609
3.7824875,3.5977063
3.69005,3.8086276
4.91224,4.8864336
2.4491555555555555,2.432592
5.125399999999999,4.847812
3.77645,3.649102
4.45515,4.241781
5.7499,5.7614822
5.5909,5.3199697
5.80965,5.552676
3.389657142857143,3.413251
4.4424,4.4109983
5.828244444444445,5.8904686
2.89778,2.8010209
4.1776,4.0469475
5.9416,5.910531
5.6119,4.9416795
3.937871428571429,4.085066
3.964438461538462,4.1738815
4.802175,4.7880564
2.9143428571428567,2.9334571
3.5203875,3.5590496
2.4662875,2.2770932
3.846666666666666,3.7162642
3.7704,3.7266924
4.399983333333333,4.3308177
5.39175,5.9363165
5.690971428571429,5.643215
5.1638,5.7740417
2.7721333333333336,3.1194584
4.01388,4.041371
5.797371428571429,5.452831
5.8033125000000005,5.8913856
3.1459666666666664,3.176995
4.268818181818181,4.278047
3.1331333333333333,3.4626076
4.0684818181818185,4.2293525
2.4766,2.422558
3.9343,3.9410949
4.908849999999998,5.195302
3.5911,3.5140438
4.41,4.5789895
4.307640000000001,4.44726
3.04646,3.113337
2.8463,2.6468027
2.7601666666666667,2.5764997
2.746366666666667,2.8172905
3.5335636363636365,3.4882326
5.5732,5.666838
2.9985,3.1212862
3.0698666666666665,3.1050048
4.35698,4.0931535
3.159257142857143,3.0850933
3.96586,4.071456
3.4059666666666666,3.372621
3.7101500000000005,3.7018461
3.35658,3.377099
2.817816666666667,2.8516731
2.942825,3.0635614
4.836081818181818,5.097356
2.2431500000000004,2.1927657
2.611166666666666,2.5291116
5.360366666666667,5.573359
3.674,3.7080193
4.925366666666667,4.9390407
5.779233333333334,5.529775
3.479325,3.2962883
2.3543818181818184,2.4017649
2.1377666666666664,2.128712
2.6492142857142857,2.7961562
4.9812,5.291753
2.819983333333333,2.9166586
3.72055,4.0795684
2.5816666666666666,2.8162909
3.507375,3.414246
3.5527500000000005,3.5422368
4.023733333333333,4.027258
4.6142666666666665,4.894856
2.6303461538461543,2.549306
4.5245000000000015,4.8342834
5.057799999999999,5.136137
2.865611111111111,2.9749272
5.654672727272726,5.5784698
2.896390909090909,2.8542295
4.181342857142857,4.001803
4.225242857142858,4.176482
4.547033333333332,4.466895
3.528466666666666,3.3592465
3.2046666666666668,2.9684253
2.8072285714285714,2.7252433
2.352257142857144,2.602183
4.686464285714286,4.9931326
4.75395,4.5146313
2.5984,2.438784
3.2841454545454543,3.340745
3.843066666666667,3.6895814
6.198600000000001,5.9664283
2.847683333333334,2.7057204
3.7894294117647056,3.7413888
4.567857142857143,4.459688
4.002775,4.0109725
2.6208666666666662,3.021984
5.332775000000002,5.573629
5.217185714285714,5.087443
3.1716250000000006,3.0624435
3.739233333333333,3.8076289
3.2100727272727267,3.1608298
