X,train_err,train_unc,test_err,test_unc,train_r2_mean,train_r2_std,test_r2_mean,test_r2_std
16,0.07389529464618158,0.053799090225721866,0.8210642639367107,0.5921444211305986,0.9914608596995056,0.012635331676642103,0.6180637117118586,0.3008380523994706
32,0.1415605298865017,0.04043634021885372,0.5116617680508659,0.27045560531047486,0.9797162044107666,0.009611322659336742,0.7902531033311174,0.16971860607226874
48,0.1503571425214272,0.025946606561670835,0.2967572795106079,0.04605579578719375,0.9770052788150418,0.008148048708322631,0.9155047635640391,0.027911373730783777
64,0.1618999552102483,0.020326688059186974,0.2699655925891537,0.05773249457570209,0.9749229440650398,0.005514158251484463,0.9293992575204852,0.032913475629779546
80,0.1668557168016293,0.018292559400722493,0.25060435567666567,0.02498082107243263,0.9731540562347482,0.006040938992920668,0.9388507578017734,0.016228361807552428
96,0.17255070272575015,0.015612514027692976,0.23656805450702145,0.03204850261413623,0.97113926558932,0.005154815630634727,0.9445339358251463,0.017463015657990497
112,0.17482551361838122,0.011699037831674797,0.2294787156377897,0.021474342892838384,0.9704702558425133,0.0037187569595211736,0.9496467506550068,0.010839094035760362
128,0.18141847684132384,0.011793566444762793,0.21953429435584051,0.022451001147783273,0.968526638489902,0.0037611461551250586,0.953011995748104,0.009221554611472636
144,0.18213363097153007,0.006955823687413699,0.21389652962066563,0.02170446292306223,0.9683495891357699,0.0026799231288099335,0.953795059544649,0.011633809990371887
160,0.1827508032603898,0.006404576188096547,0.21684681821226678,0.029356487809619625,0.96812692491103,0.002363955679749688,0.9534215068806506,0.013591220992541527
176,0.18641917841771716,0.003885009062883565,0.19281219334557154,0.043918766437681014,0.9671203940165763,0.0016167147968198876,0.9522217516296823,0.025802876195372984
192,0.18550353196321112,0.0010362049586411387,nan,nan,0.9672658893741923,0.0006304211007721778,nan,nan
