X,train_err,train_unc,test_err,test_unc
16.0,0.03393597238406228,0.02623995361982553,0.41401343732192125,0.11213805195284754
32.0,0.04995024958951751,0.026377478835096165,0.39012587481789807,0.0798252388163696
48.0,0.084925449812837,0.032849559072817336,0.41189995487932196,0.13691545499947078
64.0,0.08791299532721847,0.03558355615657966,0.3565711362847346,0.09317413033447841
80.0,0.09372188841519069,0.02468199983039056,0.36302135068426183,0.08013053021623659
96.0,0.09738487814306393,0.02314243449008094,0.3267530881825942,0.09404962925473374
112.0,0.10200605922964134,0.01567844177600586,0.30238190050572733,0.07168091690685525
128.0,0.09885952499364274,0.01441319615575802,0.25986575398575823,0.056452696997393186
144.0,0.0989157731634081,0.020197724594904327,0.2517608360136938,0.05787006411051261
160.0,0.09159146949618041,0.010593899912331594,0.21992557921353972,0.07053968568454394
176.0,0.09550937416598135,0.0154000418638212,0.20925855600886353,0.06364997781475061
