id_std,New_Tm,md_New_Tm
1,5.0,29.76479721069336
2,-66.0,-90.08381897211075
3,-65.0,-58.33311200141907
5,198.5,220.41058564186096
6,-5.0,-19.867629647254944
7,92.5,91.71275877952576
9,119.5,90.71855187416077
10,103.5,43.9824001789093
11,100.0,139.8806755542755
12,30.5,13.67506194114685
13,92.5,114.99192500114441
14,99.0,97.4718291759491
15,141.0,150.764657497406
17,118.5,115.31623935699463
18,35.5,74.92840480804443
20,171.5,131.90928411483765
22,44.0,47.26286160945892
23,177.0,143.18218851089478
24,184.0,124.5552625656128
25,100.5,135.14703822135925
26,48.0,20.32936930656433
27,43.5,99.42199420928955
30,126.0,103.3403217792511
31,238.0,187.7462604045868
32,-49.0,-43.412806153297424
33,-57.0,-78.86747932434082
35,25.5,-34.963223338127136
36,-24.0,-5.618130922317505
37,143.5,125.35443663597107
39,-45.0,5.346268177032471
40,25.0,70.30320978164673
42,286.5,142.85431385040283
43,-33.0,-45.31332290172577
45,252.0,199.0273633003235
47,237.5,155.26491522789001
51,90.5,57.69355797767639
52,77.5,55.115211486816406
53,-10.5,2.1521849632263184
54,27.0,34.0284743309021
55,197.0,172.82992315292358
56,-130.0,-90.64428114891052
57,230.5,196.30314230918884
59,-60.0,18.160849809646606
60,101.5,89.69651579856873
61,126.0,146.40599536895752
62,14.0,21.938806653022766
65,140.5,215.61214423179626
66,-78.08,-70.05253249406815
68,180.0,196.85087394714355
71,63.5,49.6660019159317
72,-4.0,16.807509422302246
73,-94.0,-80.49413841962814
74,39.0,69.10784566402435
75,51.5,-11.57391631603241
76,4.0,93.36885571479797
79,170.5,138.74190068244934
80,245.0,232.67534518241882
81,137.0,112.035728931427
82,118.5,128.12307977676392
83,60.0,76.85181856155396
84,8.0,23.784873604774475
85,56.0,77.38589692115784
86,81.0,125.81257271766663
87,13.0,-42.70931935310364
91,156.5,161.31429743766785
92,-34.0,5.709909200668335
93,260.0,191.02441906929016
94,241.5,146.1348569393158
95,287.0,220.20359802246094
97,12.0,-8.20536184310913
99,73.0,41.56521463394165
100,127.0,151.67838191986084
101,157.0,106.7300910949707
102,-105.5,-99.85501790046692
103,52.0,27.003307342529297
104,30.0,46.89613389968872
106,116.5,123.5427315235138
107,-42.5,-26.496181964874268
108,3.0,55.724039912223816
112,233.0,241.47311925888062
113,-16.0,-41.69040262699127
114,175.0,150.06856894493103
116,185.0,146.7039177417755
118,101.0,126.32003045082092
119,69.0,66.75482726097107
120,175.5,199.5704894065857
121,-82.0,-49.76324641704559
122,154.0,166.3031988143921
123,-40.0,-19.18707251548767
124,46.0,84.85502409934998
125,-30.0,-10.68237030506134
126,32.0,8.634242177009583
127,143.5,178.35701847076416
128,-51.0,-1.8028725385665894
129,22.0,47.87497270107269
132,120.0,195.14362621307373
133,71.5,95.58552098274231
134,135.0,141.34565925598145
135,127.5,124.19609642028809
137,212.5,187.09746837615967
138,207.5,95.81280887126923
141,204.0,158.0828800201416
142,30.0,26.974400281906128
143,-75.0,-7.130443811416626
145,180.0,198.95360946655273
146,88.0,58.52693057060242
147,208.0,208.56195712089539
148,-13.0,-22.902544379234314
152,128.5,-27.325308322906494
154,15.0,5.588434219360352
155,253.5,181.92045879364014
156,202.5,228.80255031585693
157,-85.0,-78.15600633621216
158,123.0,137.71192741394043
159,111.5,61.625489830970764
162,9.5,6.444360852241516
163,180.0,164.70991349220276
164,321.0,220.56779432296753
167,-16.0,-1.0218266248703003
168,245.0,188.93507552146912
169,41.0,87.6225893497467
170,137.0,154.32897973060608
171,5.5,11.762982368469238
173,123.5,148.8911533355713
174,231.5,201.6236093044281
175,-20.0,-27.931295037269592
177,77.5,65.41249442100525
178,-67.0,-48.95233803987503
179,47.0,30.6952942609787
181,141.0,81.09096550941467
182,80.0,92.44608354568481
183,-141.0,-89.89584958553314
185,67.0,88.44132876396179
186,82.5,77.54731917381287
187,50.0,50.4717903137207
188,53.0,-9.312338948249817
190,175.0,202.34491395950317
191,-40.0,-2.8339236974716187
192,120.5,112.49781727790833
193,4.0,82.84054493904114
194,15.0,-6.860824227333069
195,24.0,16.81169033050537
196,117.0,86.85176706314087
197,119.0,129.60318660736084
198,-48.0,-26.200660347938538
199,113.0,101.02081596851349
200,35.0,53.074258685112
202,138.0,180.29960560798645
203,100.5,156.27280807495117
205,115.5,101.5171355009079
206,179.0,190.83673548698425
208,44.0,96.26926279067993
209,129.0,157.94896030426025
212,191.5,171.53263306617737
213,160.0,136.9595925807953
214,71.0,94.23061275482178
215,60.0,64.29228866100311
216,-35.0,-46.06971615552902
217,62.5,114.72294235229492
218,94.5,69.02398252487183
