REF-0,REF-1,ML-pred-0,ML-pred-1
2.817816666666667,0.46112022474260095,2.9379447,0.6709139
5.373683333333335,0.2927001292563205,5.377829,0.29267493
3.7255,0.2772394632803924,3.7501514,0.28200427
3.5527500000000005,0.4766765948849504,3.541053,0.47514853
4.35698,0.4762138826199842,4.3565063,0.47682795
2.6208666666666662,0.6351909660356745,2.5996487,0.63467354
2.896390909090909,0.3203791268311513,2.9535267,0.31815538
4.9812,0.2610498726297332,5.0089984,0.26940882
3.35658,0.3988160879402936,3.3702865,0.39884293
3.507375,0.4125803566752612,3.49107,0.41123933
2.8908083333333328,0.4604922928154436,2.8550935,0.45754454
2.932975,0.2660943989765036,3.0576515,0.27484134
3.2046666666666668,0.7136886038976195,3.214899,0.71337235
4.686464285714286,0.2093875817607252,4.698,0.21022166
4.307640000000001,0.3053676916622176,4.3301873,0.3046378
3.1793333333333336,0.5890298832260833,3.1998007,0.5894651
4.2422,0.7126222140798026,4.2322836,0.7111219
3.446625,0.0482600162315209,3.5917938,0.13113877
5.5732,0.2102774086092668,5.5685444,0.21098942
2.6617818181818182,0.4551355574291725,2.6592712,0.45680565
3.96586,0.4807907216242843,4.227147,0.38502035
2.9143428571428567,0.5653321733197892,2.9760926,0.25311664
4.15051,0.575889129858247,4.1761794,0.57288235
4.91224,0.2739873409484461,4.9022093,0.27447885
3.2079428571428568,0.3143943005057124,3.2312713,0.31394804
3.149657142857144,0.6137195989949125,3.5682156,0.3349261
2.5816666666666666,0.2761274041694038,2.5309033,0.27471316
2.4662875,0.5203632040288233,2.4884756,0.4489551
3.605007692307692,0.40684362364742077,3.6431851,0.41184118
5.779233333333334,0.4194832624789695,5.7706695,0.42179906
2.7721333333333336,0.3956642558196701,2.7748075,0.396612
3.1716250000000006,0.5954198230507766,3.1360998,0.47791657
3.7516,0.2447474412532233,3.7496512,0.2347455
6.1186428571428575,0.4221718246446696,6.135497,0.42000493
3.04646,0.3847493591071119,2.9985867,0.38658166
5.125399999999999,0.459195143702544,5.112874,0.46125707
3.5335636363636365,0.5025367792962566,3.5056007,0.5059808
6.324200000000001,0.0,6.2942677,0.0002876268
3.16810625,0.6212208565598872,3.1973999,0.6190117
2.022366666666666,0.5354428572063815,2.0583038,0.5358123
3.5911,0.4798083311768009,3.5507505,0.48282287
2.7686,0.3313431453946196,2.7528698,0.3258436
2.984866666666667,0.36782450978693637,2.9673057,0.371686
3.2537666666666665,0.8377895957020872,3.3899078,0.75407887
3.528466666666666,0.4186482473389802,3.4667664,0.24780734
5.816949999999999,0.2430690418192105,5.9487844,0.0947661
4.6142666666666665,0.2440896857031584,4.616238,0.24654809
5.1638,0.3805093008061693,5.152904,0.38198087
3.90713,0.4144245516375689,3.9512112,0.41918918
4.1776,0.4115991820529613,4.200914,0.41348302
4.849266666666667,0.3369213775744521,4.822098,0.3292685
3.7652,0.605907319645505,3.7535937,0.6055991
3.2372,0.4472775089360072,3.04768,0.5996156
3.954278571428572,0.3663831625678052,3.8881536,0.3621723
2.8463,0.41694323354624657,2.854769,0.41611964
2.2431500000000004,0.6059701073485391,2.2261133,0.60727715
3.4059666666666666,0.2664515215444141,3.3403482,0.27484608
4.225242857142858,0.4483605343818842,4.069013,0.33360276
4.023733333333333,0.2531846230191188,4.0454473,0.2565804
3.793155555555556,0.3585165690421821,3.727007,0.35079914
3.2100727272727267,0.4265202975027311,3.2197661,0.38405907
3.6689909090909087,0.4876604258181002,3.667217,0.4896894
6.236177777777778,0.1807722792477996,6.2238665,0.18245389
3.33158,0.5609299751305862,3.3227658,0.5604699
3.1331333333333333,0.5227196221047505,3.1867478,0.5229605
3.964438461538462,0.5072964526757858,3.9578552,0.5081174
3.843066666666667,0.2623140611302921,3.8247192,0.25864837
3.14595,0.6459252363857599,3.148489,0.644227
2.4766,0.8265048880678203,2.4914258,0.828278
3.9343,0.6696911974932925,3.9175594,0.67109776
3.01895,0.4003945644264195,3.0614963,0.39753112
5.7499,0.152804826494453,5.7205567,0.1542694
3.5203875,0.2917382948441486,3.5178354,0.29528967
2.6461,0.6956516513313254,2.6108878,0.6981083
5.8033125000000005,0.167408016854459,5.8139277,0.1713598
2.611166666666666,0.4795275828006838,2.4397461,0.6074501
2.7601666666666667,0.4696825452721587,2.7260778,0.47164923
2.3543818181818184,0.5613182017682695,2.4818633,0.6916208
5.690971428571429,0.24108642789316373,5.6936297,0.24449374
4.9963555555555565,0.12892081979951,4.8476024,0.12459864
