X,train_err,train_unc,test_err,test_unc,train_r2_mean,train_r2_std,test_r2_mean,test_r2_std
32,0.05869727492964019,0.02942704989759668,0.611557949100171,0.20580586967513917,0.9987886617291746,0.001094346807365798,0.8847620387759397,0.08565507889176042
64,0.0766321362578331,0.03308930127389907,0.5006318528261273,0.1088480077841377,0.9979445186862382,0.0018417697062192626,0.9269808020829491,0.031806578547584216
96,0.09180284256879898,0.030184706509495823,0.45987480891991805,0.12276128080729583,0.9973042939442341,0.0017572352293089052,0.938970931633664,0.03324366123880609
128,0.1001374705630701,0.025407357661559105,0.4234881171185593,0.13103587000893283,0.996966929236385,0.0015395781421719025,0.9468460150060775,0.03703742572305707
160,0.10694647496888696,0.021388909006315463,0.36802676167383713,0.1110448548779304,0.9966419652893589,0.0013251519038292698,0.9587479127618447,0.026246657851575126
192,0.10170738158542171,0.01887228603980826,0.35455619726538756,0.11625604894723118,0.9968894816995144,0.0012067632481291724,0.9617057258997797,0.026742472524243457
224,0.09440087933676299,0.01885511938767902,0.29975298981301235,0.09297086077419492,0.9973694603890112,0.001082139238231667,0.972745863655042,0.019432775300444
256,0.08715826531604116,0.012154052299330009,0.2635455929044019,0.06700788721170793,0.9978101843027489,0.0006067831099060766,0.9788874284815011,0.0121996555921341
288,0.0834113250010169,0.011193576133596887,0.24057527027080672,0.08229287196087552,0.9979843513961175,0.0005559932563923725,0.9814797648755443,0.01781050141723904
320,0.08164179709610442,0.007813906198256408,0.21066074570006696,0.05926650990326396,0.9980918674346452,0.0003669976701674198,0.9862268107161075,0.009718724874025891
352,0.07984586053561715,0.008242226042018031,0.19709768431298655,0.09421192589002578,0.9981729348084104,0.0003744825297452063,0.9870662625679367,0.01478965355867196
384,0.07878488909856923,0.00662879033768978,nan,nan,0.9982294071939477,0.00030203722628275486,nan,nan
