X,train_err,train_unc,test_err,test_unc,train_r2_mean,train_r2_std,test_r2_mean,test_r2_std
32,0.05398865005115273,0.038594984266571805,0.587082154780927,0.20310501092560143,0.9986542765862714,0.0027880339756115855,0.8901431547631595,0.09294683013368435
64,0.08852616410806387,0.04128960064672383,0.5181634449559369,0.13712201929758677,0.9972526461694455,0.002971223810904078,0.9234572303862372,0.03755011631411241
96,0.08809654725968956,0.025599034082378364,0.473075947616145,0.1260159821191995,0.9976358792924925,0.0013076210323225749,0.9356084978733079,0.03220340063294994
128,0.10057991050226466,0.020161733451820086,0.4054782172014077,0.11540911915618318,0.9970654656845725,0.001200111694805749,0.9498740297124684,0.028996508915712163
160,0.10587796589918623,0.021892873483352178,0.35373187265980904,0.08450809262432071,0.9966950425005783,0.0014015817229165108,0.9637200512077213,0.017794045271908972
192,0.09618318229495675,0.020546881798864127,0.3160005821830756,0.11042054057662457,0.9972353047646001,0.0011176942486652909,0.9696929197562458,0.021798697986036362
224,0.09273718156819938,0.01558969941797808,0.28798581197371237,0.10765925942162918,0.9975174980293589,0.0007952968431043595,0.9743601324743817,0.022654633764576586
256,0.08635085055964478,0.011308766980445775,0.2547902436949299,0.06717776909827287,0.9978462193846667,0.0005848033725522703,0.9808709751880865,0.010439211014098814
288,0.087396217752879,0.009471088159529437,0.21352481283613456,0.07324500526313302,0.9978083009780495,0.00048331100804433846,0.9859654205245506,0.011678127776920092
320,0.08476226163936429,0.00971332191883241,0.200196521373195,0.04719050230361472,0.9979397491936122,0.00047244819690197404,0.988244885089059,0.005654281651075903
352,0.08278681361371072,0.007957134297553405,0.1903195986119238,0.04724701627957601,0.9980407407556093,0.0003848374186790961,0.988573406226318,0.006146822531758624
384,0.08480990977601076,0.006060233944501225,nan,nan,0.9979487629655195,0.0003004029680221705,nan,nan
