id_cmb,onehot-1,onehot-2,prop,md_prop
2,1,0,-65.0,35.991407308007176
14,1,0,35.5,69.90981553903167
23,1,0,238.0,170.63595864061335
30,1,0,25.0,62.990907477755194
47,1,0,-78.08,-75.20087919279777
54,1,0,4.0,67.07380885374735
57,1,0,137.0,105.76372325322185
58,1,0,118.5,103.57562760061755
59,1,0,60.0,62.19230764450576
60,1,0,8.0,5.043225981764067
61,1,0,56.0,59.75289822858721
65,1,0,-34.0,-44.50860072491457
76,1,0,116.5,98.64846381461255
87,1,0,154.0,143.76683417463659
93,1,0,-51.0,-10.022724405548772
95,1,0,120.0,181.23626009844673
96,1,0,71.5,117.75237325664865
98,1,0,127.5,84.5554660182292
99,1,0,212.5,147.15579708380534
107,1,0,-13.0,-25.359523290563473
118,1,0,-16.0,58.15294726717875
122,1,0,5.5,-9.936834275659692
126,1,0,77.5,29.308398461403584
130,1,0,80.0,71.95709786415071
135,1,0,53.0,17.443658078181002
143,1,0,119.0,120.79653783381647
148,1,0,100.5,150.67982208709236
149,1,0,115.5,102.84535609536862
153,1,0,191.5,155.72350780701925
161,1,0,73.5,104.57843946075243
169,1,0,72.5,145.8915095066626
172,1,0,-148.0,-117.81426445513597
175,1,0,68.0,119.29689292277627
178,1,0,117.5,96.8162628879926
187,1,0,133.0,136.69447115332116
191,1,0,85.5,101.35346778196157
192,1,0,242.5,165.25543658751036
200,1,0,220.0,222.43593382198995
202,1,0,152.0,102.85270189061842
215,1,0,202.5,159.7627276466888
221,1,0,115.0,139.8739951158057
222,1,0,74.5,58.115110205553606
223,1,0,96.5,149.76837051489863
224,1,0,136.0,95.65314080304647
237,1,0,49.5,3.692702335883112
239,1,0,100.0,125.61580113065557
240,1,0,30.0,79.82028722953703
242,1,0,130.5,82.5956252269836
248,1,0,155.0,152.54920535903898
257,1,0,77.0,61.14246431677082
260,1,0,33.0,58.285879675256936
261,1,0,272.0,200.60154931351298
267,1,0,5.5,28.750323423610702
282,1,0,56.0,81.62271545612163
291,1,0,195.0,128.85906432609494
292,1,0,39.0,92.53561016338749
294,1,0,54.0,99.61045489054843
302,1,0,116.5,54.264064883934964
303,1,0,248.0,168.0301039906058
311,1,0,106.5,68.64435501297855
314,1,0,136.5,171.53366995414262
321,1,0,194.0,181.96740185611304
322,1,0,-37.0,-29.35254407798871
324,1,0,-3.0,35.30224847286122
326,1,0,56.0,82.77939983529694
334,1,0,99.0,47.91491945852265
341,1,0,76.5,77.52462621602695
346,1,0,-129.0,-73.29438857398588
351,1,0,143.0,108.65275993169745
359,1,0,-20.0,4.616299604858483
361,1,0,-18.0,7.809720579548468
364,1,0,187.0,200.75309215061623
366,1,0,154.5,133.62596653493932
368,1,0,-20.0,-17.036472413112307
371,1,0,2.0,33.425562648020936
374,1,0,47.0,62.517863128023066
378,1,0,185.5,207.43493345360395
382,1,0,46.0,41.48553243599243
386,1,0,7.5,59.88154964340724
390,1,0,110.0,23.576959282905385
396,1,0,116.0,77.69321735203958
397,1,0,108.5,140.71798320712176
398,1,0,-78.0,-51.83225588836618
400,1,0,42.5,45.21032629355699
409,1,0,138.0,133.36963125301799
418,1,0,81.5,84.25173719843282
420,1,0,43.5,62.74987998990848
422,1,0,122.5,59.38216529348949
424,1,0,316.0,245.3140590806912
428,1,0,179.0,127.82171803928532
430,1,0,127.0,150.73338315047
436,1,0,20.0,13.209609802909043
440,1,0,300.0,102.84850197677802
448,1,0,137.5,145.28073284732042
464,1,0,19.0,46.10392958325266
474,1,0,12.0,68.87889074210929
479,1,0,82.5,56.075492588060904
486,1,0,68.5,56.8336608183166
490,1,0,56.5,46.40218832945467
500,1,0,-47.0,-27.017575762744613
508,1,0,232.0,244.0343339824054
510,1,0,41.0,81.94460074466129
513,1,0,32.0,39.37384602669286
518,1,0,53.0,72.49168149196889
521,1,0,123.5,115.08982247244305
525,1,0,185.0,185.62540248932015
534,1,0,212.0,123.84821577036413
538,1,0,59.0,138.26624431440794
546,1,0,86.5,43.54009028753255
547,1,0,68.0,76.82203522400408
558,1,0,27.5,40.374387663130236
561,1,0,60.5,67.34633839804425
562,1,0,169.5,172.38547950662604
565,1,0,51.5,71.74220497529794
567,1,0,300.0,259.6021659657033
569,1,0,286.0,238.85240785518377
570,1,0,210.0,114.53942835816008
572,1,0,28.5,54.012961927106915
573,1,0,153.0,110.65568641000279
574,1,0,125.0,134.77224572216775
575,1,0,212.5,120.78828935438219
591,1,0,148.0,101.28368542973577
592,1,0,132.5,161.43896893492257
595,1,0,-44.0,5.465411915377487
610,1,0,7.0,-26.974452323080982
617,1,0,104.5,121.59198097506746
619,1,0,7.5,64.4830511913282
620,1,0,186.0,238.740010160979
621,1,0,46.0,69.09656735763878
626,1,0,57.5,136.1958327340469
628,1,0,44.0,17.191322714202883
630,1,0,72.5,52.8535911165562
631,1,0,154.5,112.71107127160414
633,1,0,77.5,56.91886988109644
635,1,0,147.0,124.72017626081022
638,1,0,42.5,107.92524647797626
640,1,0,41.5,76.8009437647953
641,1,0,-30.0,-83.88591183352221
653,1,0,99.0,116.00477127018982
655,1,0,197.3,194.1522437806844
664,1,0,191.5,135.88426615274184
667,1,0,206.5,103.12523143491532
671,1,0,66.5,120.3824652472744
672,1,0,93.5,96.24278276082376
673,1,0,103.0,63.41595956878672
675,1,0,73.5,45.18733757597245
698,1,0,233.0,194.31578637161732
704,1,0,-80.0,-47.25864160618656
706,1,0,45.5,62.34828822840818
721,1,0,342.0,211.64858755265993
724,1,0,5.5,38.367174786272216
750,1,0,51.0,19.522410027983142
759,1,0,146.0,120.57594776454185
764,1,0,114.5,53.962498097488
767,1,0,108.0,83.31145919057528
769,1,0,121.0,51.85327650248858
777,1,0,229.5,203.4423342791511
792,1,0,223.5,172.28098435300643
800,1,0,46.5,70.68288076097863
807,1,0,-5.0,57.808467847554354
808,1,0,76.5,108.79469756044242
819,1,0,165.0,106.20943302857708
822,1,0,119.5,218.78848432368173
826,1,0,33.5,58.09104042906549
828,1,0,62.0,26.84508142783246
829,1,0,114.0,66.17197330050095
841,1,0,35.0,60.061583787914216
845,1,0,-27.0,85.66230277136066
847,1,0,100.0,86.86714291939576
859,1,0,147.0,132.81830202278343
875,1,0,249.0,170.13517431941548
881,1,0,129.0,158.96657100656142
889,1,0,117.0,162.6153556126156
897,1,0,43.0,44.60974942497003
899,1,0,40.0,157.67835959588257
901,1,0,-8.0,52.52193846082274
906,1,0,17.9,-24.182066364555936
907,1,0,37.5,72.08348446056775
908,1,0,15.5,33.561003112755415
912,1,0,33.5,20.96455341594215
919,1,0,68.0,56.43340416456222
921,1,0,116.0,80.3358499637777
923,1,0,49.5,41.56461730008351
926,1,0,200.0,207.52132087058868
932,1,0,68.0,80.4684202171232
939,1,0,42.0,86.44656235825416
948,1,0,42.5,25.162445676184014
949,1,0,64.0,84.72105721578441
950,1,0,-23.0,-67.99084332011199
961,1,0,-58.0,-34.73872547445194
962,1,0,49.5,47.20108004860807
963,1,0,65.5,35.757585077752786
964,1,0,160.0,139.1037352417135
966,1,0,211.0,137.0031675232372
971,1,0,33.5,68.66153303895638
972,1,0,174.0,146.35381353618772
975,1,0,-15.0,-20.91647930275775
981,1,0,-58.0,-25.457845597843686
982,1,0,117.5,155.91464983176047
983,1,0,-18.0,45.88080983614367
995,1,0,-53.0,-60.95849028881793
1004,1,0,253.5,161.61066811528298
1008,1,0,50.0,58.22862679572357
1015,1,0,-23.0,-25.616512613121486
1016,1,0,187.5,80.80891052939339
1027,1,0,137.5,88.49934735765014
1036,1,0,119.0,122.03368002189042
1038,1,0,21.5,-2.3193310863326815
1049,1,0,270.0,225.698753372995
1053,1,0,131.0,84.42440924734872
1056,1,0,3.5,-38.944660812936405
1060,1,0,126.0,142.31222617751934
1062,1,0,60.5,67.6339324981625
1063,1,0,69.5,88.80881668468223
1069,1,0,78.0,57.426097313359634
1076,1,0,-15.0,-15.991661414573514
1082,1,0,84.0,94.63246984982452
1090,1,0,194.0,199.91423368379762
1096,1,0,300.0,242.64956239045915
1098,1,0,109.5,143.76727740878704
1099,1,0,95.5,117.69006102144655
1102,1,0,147.0,118.15851627613301
1104,1,0,120.5,98.9848244818711
1105,1,0,126.5,131.65172595464037
1108,1,0,82.5,122.72617392375389
1109,1,0,81.0,250.0916583673865
1115,1,0,106.0,64.21671611454877
1116,1,0,100.5,169.11593576924076
1118,1,0,25.5,28.4177518678092
1123,1,0,171.5,118.28580015144001
1131,1,0,159.5,157.9869316440247
1136,1,0,115.0,162.39945733898247
1140,1,0,178.5,158.67392295606896
1142,1,0,115.0,136.51969095508557
1146,1,0,85.0,79.50286671426915
1152,1,0,202.75,202.6054649607151
1154,1,0,60.0,67.36770012197891
1156,1,0,222.0,6.583686271708771
1173,1,0,126.5,153.0295955040209
1174,1,0,56.5,75.82887181458361
1177,1,0,33.5,129.27273151554817
1201,1,0,26.0,39.880695088339806
1203,1,0,58.5,37.37920586488343
1204,1,0,50.5,-2.793094340235683
1205,1,0,70.5,56.72885756290946
1207,1,0,189.5,165.5796461526927
1208,1,0,125.0,120.748322606717
1209,1,0,-40.0,15.499714173654752
1211,1,0,300.0,183.25967804826934
1212,1,0,37.5,78.0699663799357
1214,1,0,55.0,67.75744347789602
1222,1,0,34.0,18.18576177312957
1225,1,0,327.0,251.0387524516311
1226,1,0,39.0,45.6693655251933
1229,1,0,23.0,-17.42196720753836
1242,1,0,-38.0,23.517106456708916
1243,1,0,17.0,38.271733500970036
1245,1,0,-113.0,-114.26709398072342
1247,1,0,-23.0,-57.76071805204103
1255,1,0,277.0,254.6509702402718
1259,1,0,96.5,78.87479851776426
1265,1,0,-7.0,52.242900941926294
1278,1,0,179.0,71.34408881817264
1282,1,0,53.0,59.687121199599154
1283,1,0,-10.0,-22.262365205942373
1288,1,0,83.5,59.867668847085326
1289,1,0,171.0,168.91266966889594
1290,1,0,212.0,166.11996479799436
1293,1,0,25.0,15.577993648862659
1295,1,0,-75.0,-69.08218309386069
1313,1,0,14.0,43.94277932381998
1315,1,0,65.5,91.31910032231919
1316,1,0,9.5,40.38637120107637
1321,1,0,-16.0,-41.696150313139185
1328,1,0,86.0,64.56303333430925
1330,1,0,220.0,187.80421184594275
1336,1,0,56.5,33.74961005436775
1345,1,0,138.0,162.0627831646419
1349,1,0,-75.0,-47.976140400489754
1350,1,0,190.0,96.35228321716694
1353,1,0,36.5,49.21844947386518
1371,1,0,53.5,61.8608387687859
1376,1,0,129.0,90.12334106907412
1378,1,0,-30.0,83.66375466607252
1387,1,0,171.5,114.64141004982889
1388,1,0,195.5,164.56822906368535
1390,1,0,-27.0,9.177092528441662
1392,1,0,67.0,70.63955732541784
1402,1,0,-45.0,-75.89074612152555
1405,1,0,18.0,13.03077022849051
1407,1,0,136.0,95.8837090460011
1412,1,0,75.5,118.55757295450442
1421,1,0,120.0,162.48815822202084
1422,1,0,50.0,61.01491017673793
1426,1,0,34.0,30.134527459632572
1427,1,0,-21.0,-21.655047935091616
1437,1,0,37.0,42.290661865019466
1448,1,0,61.5,78.23674133699033
1449,1,0,-37.0,-22.66899470193333
1452,1,0,159.0,92.50041629078159
1460,1,0,117.5,100.9625839089012
1461,1,0,30.0,54.94842922284355
1463,1,0,-30.0,-26.54760702559315
1470,1,0,37.0,37.296791339369335
1472,1,0,101.0,125.88556856945385
1473,1,0,-35.0,6.519838932863593
1474,1,0,19.0,55.25805530341666
1475,1,0,149.0,114.53703921798318
1477,1,0,66.5,83.56161622086269
1483,1,0,-87.0,-26.011542347077082
1486,1,0,12.5,31.713527499489743
1489,1,0,256.0,208.676940406744
1491,1,0,187.0,105.74497769183385
1495,1,0,380.0,282.5813053683546
1503,1,0,56.0,73.44411600719715
1512,1,0,193.0,184.30377554793176
1514,1,0,84.5,86.05805140948712
1522,1,0,100.5,40.121230694385396
1524,1,0,58.5,136.70097372262617
1532,1,0,135.0,110.97979867988381
1541,1,0,147.0,146.85470055798146
1542,1,0,29.5,7.858281745497095
1544,1,0,19.0,67.78770772190163
1545,1,0,49.0,75.26450501397191
1546,1,0,186.5,173.02458531453647
1549,1,0,214.0,28.127963218116697
1555,1,0,188.5,148.46070004395543
1556,1,0,88.5,126.22261570911616
1564,1,0,76.0,143.40396594306236
1565,1,0,22.0,34.798420970849776
1573,1,0,5.5,57.57300240776654
1593,1,0,103.5,91.82172751111676
1610,1,0,134.0,153.4380790160315
1615,1,0,86.5,43.88243461582238
1619,1,0,254.5,165.50792329973498
1620,1,0,-104.0,44.69659899463605
1625,1,0,61.0,76.76607420986048
1629,1,0,68.0,32.46631746170016
1637,1,0,228.5,195.0038695531542
1645,1,0,19.0,-8.931881918895726
1646,1,0,194.0,180.09531053161294
1658,1,0,-70.0,9.06637588083197
1663,1,0,18.5,5.422450634549392
1665,1,0,-100.0,-55.33441107003384
1670,1,0,56.0,33.17368673407684
1677,1,0,101.0,129.99258701826113
1679,1,0,8.0,32.278645636039414
1693,1,0,-100.0,-64.32639957583956
1703,1,0,74.5,94.53412592136624
1711,1,0,212.5,102.25050883897062
1712,1,0,88.0,80.03705575558752
1718,1,0,101.0,71.93836851864627
1720,1,0,167.5,108.36943196027744
1722,1,0,-78.0,-15.21724486899707
1727,1,0,17.8,65.37308158134755
1728,1,0,64.5,123.38285234414192
1732,1,0,92.5,97.1893153701003
1738,1,0,107.5,120.56696416505314
1741,1,0,86.5,33.45588635026623
1743,1,0,63.5,85.35309830375994
1745,1,0,165.5,141.1979571444258
1749,1,0,90.5,125.79490015921095
1755,1,0,-16.0,-37.51893870972272
1756,1,0,159.5,99.03600721566089
1757,1,0,13.0,56.070200804727904
1761,1,0,-28.0,9.950649632189766
1778,1,0,27.5,31.667933840231434
1791,1,0,180.0,229.66912597639032
1803,1,0,61.0,48.42701706114645
1807,1,0,55.0,61.1345996132473
1812,1,0,-2.5,40.10616613856407
1815,1,0,64.5,70.87374711569944
1819,1,0,146.5,203.85136372590802
1821,1,0,361.0,219.5158423751855
1825,1,0,103.5,110.40375644311351
1827,1,0,211.5,167.1695054292363
1828,1,0,-60.0,-47.81272753662526
1830,1,0,97.0,67.64069452160436
1839,1,0,222.5,146.988043768443
1844,1,0,7.0,42.787378702092646
1846,1,0,-27.0,38.472810457035116
1847,1,0,94.0,97.8676960479776
1848,1,0,77.0,114.50299126781506
1849,1,0,103.0,119.49588884045197
1851,1,0,171.0,131.77435046607297
1866,1,0,108.5,73.19587245116907
1875,1,0,99.0,110.26314311152542
1877,1,0,290.0,154.95780459620562
1883,1,0,78.5,45.379382284898156
1885,1,0,65.0,105.0324517684871
1889,1,0,113.0,85.20715535177722
1890,1,0,76.5,20.847404467856165
1893,1,0,103.0,108.00681237225105
1897,1,0,-140.0,-104.15880405108544
1902,1,0,212.0,159.1496537371765
1905,1,0,134.0,122.33991157750631
1924,1,0,90.5,140.1364870281829
1932,1,0,65.5,67.03838255347716
1936,1,0,201.0,156.0118910801371
1943,1,0,214.0,199.04315966165248
1957,1,0,325.0,200.3095877354243
1972,1,0,33.5,104.11421655167348
1979,1,0,65.0,5.3451603282382365
1981,1,0,-11.0,-2.345033261765195
1985,1,0,163.0,148.05917855128385
1988,1,0,8.0,24.388839924785245
1990,1,0,163.5,138.9062744276809
2008,1,0,201.5,213.74331214776242
2012,1,0,11.8,68.8975119817234
2015,1,0,65.0,33.36274231513415
2018,1,0,-56.0,-18.947579153442447
2019,1,0,104.0,113.827859171943
2022,1,0,53.0,56.27814248483068
2026,1,0,194.0,192.69833847185447
2044,1,0,19.6,7.984414293071794
2049,1,0,66.0,99.50999749193365
2052,1,0,135.5,106.27696137298892
2055,1,0,43.0,85.13176770913637
