ind,omlog,std_dev Gaussian center=2.0 width=1.0,OFM: p^1 - s^2,OFM: s^2 - s^2,OFM: s^1 - d^10,std_dev Gaussian center=1.0 width=1.0,mean Gaussian center=5.0 width=1.0,std_dev Gaussian center=7.0 width=1.0,std_dev Gaussian center=4.0 width=1.0,OFM: s^1 - s^2,mean Gaussian center=6.0 width=1.0,mean Gaussian center=1.0 width=1.0,avg d valence electrons,OFM: d^1 - s^1,OFM: p^2 - s^1,OFM: d^2 - s^1,OFM: s^1 - s^1,OFM: s^2 - s^1,mean Gaussian center=7.0 width=1.0,max packing efficiency,OFM: s^1 - f^1,std_dev Gaussian center=0.0 width=1.0,OFM: p^1 - s^1,avg s valence electrons,mean Gaussian center=0.0 width=1.0,structural complexity per cell,OFM: s^1 - d^1,mean Gaussian center=2.0 width=1.0,mean Gaussian center=3.0 width=1.0,mean Gaussian center=4.0 width=1.0,mean Gaussian center=9.0 width=1.0,structural complexity per atom,mean Gaussian center=8.0 width=1.0,OFM: p^4 - s^1,std_dev Gaussian center=5.0 width=1.0,std_dev Gaussian center=3.0 width=1.0,OFM: s^2 - p^1,avg p valence electrons,OFM: p^1 - p^1
0,803.6,0.0146186660262344,0.0,0.0108799980534999,0.0,0.0242973982203147,0.1836432292777685,0.0037071544415924,0.0011708148294149,0.7347283386875094,0.1846959944670304,0.1541750058063173,0.2307692307692307,0.3403128709101436,0.0,0.0,1.0866378754719197,0.3403128709101436,0.183830718074996,0.4936400806121162,0.0,0.0216127321544293,0.0,1.2307692307692308,0.0620679666218574,36.1057163358342,0.7347283386875094,0.1884040971422093,0.183638098733308,0.1853144645302071,0.1858084319873044,2.7773627950641693,0.18343060579183,0.0,0.0041368533550974,0.0086541631658297,0.0,0.0,0.0
1,710.9,0.0201789596414489,0.0,0.0,0.0,0.0149777054285259,0.3333178960825186,0.0031062060920166,0.0048688987412628,0.4223820455544988,0.3376211717413231,0.3092070234743505,0.0909090909090909,0.0932726595597613,0.0,0.0,1.4736923131984685,0.0932726595597613,0.3373333603041306,0.3438500874343058,0.0,0.0538666289002017,0.0,1.0909090909090908,0.2191473805834519,18.54397280068333,0.4223820455544988,0.3315789138096386,0.3375243553096973,0.339059688867478,0.3378239154025459,1.6858157091530304,0.3350720560561963,0.0,0.006258772512839,0.0065093850252239,0.0,0.0,0.0
2,812.8,0.0194846724893961,0.0,0.0,0.0,0.0125840140550568,0.358580539440834,0.0016943820847034,0.0041408922684238,0.444947931603573,0.3633104077482276,0.3352506637516672,0.0909090909090909,0.0969667548560247,0.0,0.0,1.5326017661814566,0.0969667548560247,0.3623303962712825,0.3513593507034667,0.0,0.0572585643779947,0.0,1.0909090909090908,0.2420753261138883,18.54397280068333,0.444947931603573,0.3560991820551837,0.3637627509050762,0.3636361751954664,0.3624655981656894,1.6858157091530304,0.3599182963221037,0.0,0.0065555017017507,0.0073653664686735,0.0,0.0,0.0
3,1098.0,0.0186640066124385,0.0,0.0,0.0,0.0103914809293368,0.3819315550973474,0.0005767621648189,0.0032360014161471,0.4658178457947639,0.3868559829528631,0.3588308678187397,0.0909090909090909,0.1002621677523689,0.0,0.0,1.582080889404912,0.1002621677523689,0.3851182200404443,0.3568386741544392,0.0,0.0598166705671067,0.0,1.0909090909090908,0.2635023727934107,18.54397280068333,0.4658178457947639,0.378835771959946,0.3877911702386888,0.3860973002097614,0.3862088860387369,1.6858157091530304,0.3830793571118514,0.0,0.0064019329490802,0.008097743411626,0.0,0.0,0.0
4,627.015,0.0181173552952657,0.0,0.0,0.0,0.0241348582624788,0.2790257377496308,0.0030433301386449,0.0073040014613748,0.3556663889846796,0.2776038168926508,0.252767611435014,0.0833333333333333,0.0796859338052134,0.0,0.0,1.3189658190930724,0.0796859338052134,0.2816190631398207,0.2587872083739023,0.0,0.0535268332229295,0.0,1.0833333333333333,0.1770854904235101,74.03910001730775,0.3556663889846796,0.2762641914848543,0.2766473925259207,0.2837969223251182,0.2786600886405295,3.084962500721156,0.2792017592237752,0.0,0.0055013983004448,0.0057389702836277,0.0,0.0,0.0
5,697.0,0.0188556602512949,0.0,0.0,0.0,0.0150137172631561,0.3298443417086802,0.0035931177006578,0.0056911655698546,0.4064254949707044,0.3303525961499367,0.3052737232958511,0.0769230769230769,0.0705928559995199,0.0,0.0,1.3677969757420196,0.0705928559995199,0.3336224253087504,0.2512317924210978,0.0,0.0518027510687683,0.0,1.0769230769230769,0.2149217605065219,16.105716335834195,0.4064254949707044,0.326408056046576,0.3317288309352272,0.334265647101381,0.3303605141641989,1.2389012566026305,0.3307033632604071,0.0,0.0048474279626987,0.0036505093665318,0.0,0.0,0.0
6,677.0,0.0176024948146174,0.0,0.0,0.0,0.0078648526439504,0.4102003339338997,0.0012926937456462,0.0025952455497866,0.4285284282640832,0.4143198306303271,0.3883914280113645,0.0769230769230769,0.07807724369349,0.0,0.0,1.4921558724435064,0.07807724369349,0.4126166592226372,0.2681987572419411,0.0,0.0587200903538724,0.0,1.0769230769230769,0.2870154810829414,16.105716335834195,0.4285284282640832,0.4058037930511611,0.4158781164626545,0.4133475185928617,0.4162530824892793,1.2389012566026305,0.4114198638302539,0.0,0.005526238334866,0.0069990083853698,0.0,0.0,0.0
7,1110.53,0.0219593864556096,0.0,0.0,0.0,0.0198445398435414,0.3600842382116684,0.00241483508353,0.0078643939311162,0.4056175328283062,0.3619258785332981,0.3358589012697989,0.0769230769230769,0.0700587403388592,0.0,0.0,1.4047100064007163,0.0700587403388592,0.3635726092264174,0.2687810632129532,0.0,0.0627694165772352,0.0,1.0769230769230769,0.2578593656415721,67.6821076586876,0.4056175328283062,0.3557224668119974,0.3628369632014919,0.3653108413650345,0.3597370253978325,2.6031579868726,0.3613760680337444,0.0,0.0065496001758564,0.0082162411281662,0.0,0.0,0.0
8,1054.0,0.0137741741734464,0.0,0.0,0.0,0.02289564461599,0.36822380457301,0.0047033171262614,0.004623475969044,0.2749176935000286,0.3634173577228907,0.3444536634837941,0.0588235294117647,0.0576999243364608,0.0,0.0,1.534436049222066,0.0576999243364608,0.3661963363818092,0.2912034246785228,0.0,0.0512297314960099,0.0,1.0588235294117647,0.2482723979873206,34.4673182926019,0.2749176935000286,0.3637706607518219,0.3612996445967127,0.3688245846290624,0.362382689203958,2.027489311329524,0.3664594710263268,0.0,0.0062717570275648,0.0067227177311729,0.0,0.0,0.0
9,1383.0,0.0143824212450517,0.0,0.0,0.0,0.0204488980351001,0.4320110680569917,0.0029418590925675,0.0063847181921534,0.298492676115072,0.4278294387282466,0.4118322748804387,0.0588235294117647,0.0623482249430477,0.0,0.0,1.665626259511293,0.0623482249430477,0.4308086905774863,0.3132418456098754,0.0,0.0580887620231953,0.0,1.0588235294117647,0.3085298737518471,34.4673182926019,0.298492676115072,0.4250495975738528,0.4280072385298808,0.4331793750502097,0.4296650227588257,2.027489311329524,0.432110433219601,0.0,0.0056070243339784,0.0069361498346698,0.0,0.0,0.0
10,982.5,0.0107727646929501,0.0,0.0042711681761634,0.0,0.0108506905539814,0.1779766817637881,0.0009642910519307,0.0017476788978527,0.6249755645967279,0.1790559319823959,0.1442011481568131,0.2,0.2447568661615826,0.0,0.0,1.01318518985254,0.2447568661615826,0.1790154393032069,0.4234307315186009,0.0,0.0210685643014567,0.0,1.2,0.0594469014285405,15.21928094887362,0.6249755645967279,0.1815179856337818,0.1763319156550933,0.1813582314362372,0.1787511643159576,1.521928094887362,0.1791728973541076,0.0,0.0015600823312039,0.0030317609533693,0.0,0.0,0.0
11,1089.74,0.0140270324667098,0.0,0.0020472230880342,0.0,0.021361054180931,0.1950585730505893,0.0041922180466361,0.0071726883410348,0.4558616540939667,0.1983252730271694,0.164597031434435,0.1666666666666666,0.1827508713053553,0.0,0.0,1.0384727187364522,0.1827508713053553,0.198943949313973,0.349508909104463,0.0,0.0488499345752864,0.0,1.1666666666666667,0.093559103367845,31.01955000865388,0.4558616540939667,0.2000803906876807,0.1950429355053393,0.1988353090093243,0.1977349511271225,2.584962500721156,0.1966477892009284,0.0,0.0041441740013649,0.0051683296456894,0.0,0.0,0.0
12,1162.0,0.013728689151039,0.0,0.0027867656910062,0.0,0.0197748424474212,0.2223623307626654,0.0033196652058983,0.0070461122837567,0.5491711135240824,0.2242026838789738,0.1919743965698324,0.1666666666666666,0.1897453851082225,0.0,0.0,1.1021077652742508,0.1897453851082225,0.2245313157784632,0.3537091029311265,0.0,0.0495219671789076,0.0,1.1666666666666667,0.1111149284053182,31.01955000865388,0.5491711135240824,0.2250234518428579,0.2225570409256998,0.2233408328704806,0.2220340334541389,2.584962500721156,0.2227026264009071,0.0,0.003677080755598,0.0065184133872383,0.0,0.0,0.0
13,913.688,0.0137493866629965,0.0,0.0,0.0,0.0070150701959832,0.2662774452437755,0.0014824406876142,0.0015211351408608,0.6979747236007532,0.2692814436817572,0.2344930394732317,0.1428571428571428,0.1439277698458949,0.0,0.0,1.18950244526856,0.1439277698458949,0.2671084242448036,0.3556214373179698,0.0,0.0400303502077173,0.0,1.1428571428571428,0.1486029238825141,9.651484454403228,0.6979747236007532,0.2672580511201084,0.2686417441052703,0.2684401714836396,0.2667619237879915,1.3787834934861751,0.2678731771895242,0.0,0.0031807575814818,0.007420174394275,0.0,0.0,0.0
14,1195.0,0.0099285588621641,0.4987102651967963,0.4987102651967963,0.0,0.0142783933947879,0.1612609156098421,0.0017272336641873,0.0023086951634955,0.57870758309754,0.1637245135345318,0.1302060118721372,0.0,0.0,0.0,0.0,0.0497762467573838,0.602138732462819,0.1632257643064271,0.4023308664121435,0.0,0.014598000651193,0.602138732462819,1.6666666666666667,0.0504771669445277,11.019550008653876,0.0,0.1657903410500484,0.1583148286481351,0.1686213780775975,0.1620594270972501,1.224394445405986,0.16450636985388,0.0,0.0013876064517027,0.0009404793702312,0.4987102651967963,0.6666666666666666,0.4987102651967963
15,1190.0,0.0069590798359625,0.3969320400560375,0.3969320400560375,0.0,0.0117339878347551,0.168007590418397,0.0016210840732891,0.0036673861750034,0.672352103645384,0.1703952268384404,0.1367089928866094,0.0,0.0,0.0,0.0,0.1007761991695372,0.7391029175733552,0.1668605290201857,0.4506478793959174,0.0,0.0073358348602828,0.7391029175733552,1.6,0.0509962323664821,15.709505944546686,0.0,0.1702625169967489,0.1664799848722961,0.1685550520367967,0.1664423562455458,1.570950594454669,0.1686560935438177,0.0,0.0027136627379856,0.0077888005613794,0.3969320400560375,0.6,0.3969320400560375
16,1164.0,0.0058871550733949,0.480484025931508,0.480484025931508,0.0,0.0136251095863784,0.1624335016861439,0.0011778359896536,0.000813615035149,0.6276048399114728,0.1645373924785833,0.1297611177323345,0.0,0.0,0.0,0.0,0.011112226057551,0.6276048399114726,0.1618789361346747,0.4107389379451184,0.0,0.0126273404673191,0.6276048399114726,1.6666666666666667,0.0493132600175117,2.7548875021634687,0.0,0.1681958045731518,0.1569607420474058,0.1678194050376511,0.1660156639024966,0.9182958340544896,0.1644401677313266,0.0,0.0030836697434852,0.0026939193312189,0.480484025931508,0.6666666666666666,0.480484025931508
17,852.0,0.0004031945991125,0.0,0.0,0.0,0.0002530164595604,0.2695187686644977,0.0001982313730128,4.191489963322648e-05,0.9172352392202144,0.2695578148258244,0.2454084267469142,0.0,0.0,0.0,0.0,1.2185560325158922,0.6158946476243572,0.2696012112961748,0.5756369653195763,0.0,0.0003056142785557,0.6158946476243572,1.25,0.1093138803942812,6.490224995673063,0.0,0.2685743388391186,0.2705289419160417,0.2692805757697891,0.2726704849106949,0.8112781244591328,0.2697938458770664,0.0,0.0004393672580269,0.0003807459664671,0.0,0.25,0.0
18,1000.0,0.0003687428239998,0.0,0.0,0.0,0.0003004910274804,0.2958291961281202,0.0002864376862142,0.0002464725184317,0.9461819538137016,0.2958988880518755,0.2733963766306105,0.0,0.0,0.0,0.0,1.2570120274244578,0.6353314570949522,0.295870949753023,0.5756369653195762,0.0,0.0003492765949809,0.6353314570949522,1.25,0.1317534436198214,6.490224995673063,0.0,0.2946263416956638,0.2966452820732891,0.2958204178364981,0.2978532634144261,0.8112781244591328,0.2960628621053753,0.0,0.0003410387918695,0.0001847485275432,0.0,0.25,0.0
19,1100.0,0.0002828106523935,0.0,0.0,0.0,0.0003134410158441,0.32622279913537,0.0001098562390715,0.0002982498068647,0.9775216098341648,0.3263087003734691,0.3051533196579998,0.0,0.0,0.0,0.0,1.2986470685434344,0.6563750515580272,0.3262219512421566,0.5756369653195761,0.0,0.0003762945213399,0.6563750515580272,1.25,0.1586609418122733,6.490224995673063,0.0,0.3249493337774539,0.326761516084571,0.326338735078411,0.3314985866150284,0.8112781244591328,0.3266220139985955,0.0,0.0001057104729504,3.579614518319944e-06,0.0,0.25,0.0
20,1226.0,0.0001697414120981,0.0,0.0,0.0,0.0002922663453206,0.361147958434411,8.264966977644871e-05,0.0002096976165484,1.011209419441022,0.3612313050670329,0.3411336625439959,0.0,0.0,0.0,0.0,1.3434016547863077,0.67899535738567,0.3611557047551019,0.5756369653195763,0.0,0.0003831307903156,0.67899535738567,1.25,0.1905802056437885,6.490224995673063,0.0,0.3599606283438941,0.3614209087133987,0.3613004531883943,0.3543421048955555,0.8112781244591328,0.3608079084725163,0.0,9.780169701578748e-05,0.0001298692322231,0.0,0.25,0.0
21,949.0,0.0088691096185948,0.0,0.0,0.0,0.0368630161592501,0.4082976627205806,0.0046450668880936,0.011933057079279,0.498471187310719,0.4096890531496487,0.3941970223911988,0.0,0.0,0.0,0.0,1.5772004274413547,0.4213448811403616,0.4088877989380488,0.4342915639475428,0.0,0.0741836393582402,0.4213448811403616,1.1666666666666667,0.259095832181669,86.03910001730775,0.0,0.4078792960573897,0.40689803084541,0.4060517320208158,0.4071984309764456,3.584962500721156,0.4079337678048353,0.0,0.0019169769657191,0.0109518740880786,0.0,0.1666666666666666,0.0
22,1024.0,0.0021364047001253,0.0534819520489638,0.0534819520489638,0.0,0.0050527283546297,0.19889141264883,0.0017216189609808,0.0028092935749313,0.910522686327518,0.2007257618006205,0.1646735290561904,0.0,0.0,0.0,0.0,0.0702201242454357,0.9268292856693902,0.1994123988881109,0.5054455049644366,0.0,0.0052986521895145,0.9268292856693902,1.5,0.0666703541902797,11.509775004326936,0.0,0.2044094572234729,0.1974996146501747,0.2014916820828314,0.2001976244102677,1.918295834054489,0.2003110599684469,0.0,0.001630237361323,0.0020237770671291,0.0534819520489638,0.5,0.0534819520489638
