id,target,pesm_0000,pesm_0001,pesm_0002,pesm_0003,pesm_0004,pesm_0005,pesm_0006,pesm_0007,pesm_0008,pesm_0009,pesm_0010,pesm_0011,pesm_0012,pesm_0013,pesm_0014,pesm_0015,pesm_0016,pesm_0017,pesm_0018,pesm_0019,pesm_0020,pesm_0021,pesm_0022,pesm_0023,pesm_0024,pesm_0025,pesm_0026,pesm_0027,pesm_0028,pesm_0029,pesm_0030,pesm_0031,pesm_0032,pesm_0033,pesm_0034,pesm_0035,pesm_0036,pesm_0037,pesm_0038,pesm_0039,pesm_0040,pesm_0041,pesm_0042,pesm_0043,pesm_0044,pesm_0045,pesm_0046,pesm_0047,pesm_0048,pesm_0049
mg2si_struct_01.vasp,-8.9247973,0.0,0.0,0.0,0.0,0.0,0.0,2.3873538999165053e-276,4.212913349354974e-202,1.5928314980450755e-139,1.2902644420958506e-88,2.2392841581466976e-49,8.326476710144516e-22,6.633380667502255e-06,0.11322182605317038,4.140444564320111e-09,3.244033862077233e-28,5.445595371953392e-59,1.958515185830476e-101,8.307442720084801e-117,1.0325470534573253e-70,2.749627945489769e-36,1.5687711700953895e-13,0.019176389893516905,0.00502221947663127,2.8180332293629916e-15,3.387802755572253e-39,8.725929686775249e-75,4.815339217360518e-122,5.693294494846391e-181,1.4421883951705468e-251,6.027395293170347e-241,5.461573288613232e-172,1.0602967790770787e-114,4.4102042516031356e-69,3.930171936199723e-35,7.503881756204317e-13,0.03069601503032535,0.0026902976422938877,0.37932289579077294,6.815745968800121e-05,2.6238519020939614e-20,2.1641473483045466e-47,3.824334931038992e-86,1.4479267741849547e-136,1.5479784486451792e-144,5.019006716788587e-92,3.4865205463840654e-51,5.189054905855367e-22,0.00016546490271979113,113.04336992441672
mg2si_struct_02.vasp,-34.985707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.942280131610265e-263,1.743029239593714e-190,8.195693892759035e-130,8.256355246372955e-81,1.7820200991496179e-43,8.24059195999741e-18,0.0008164428827668423,0.17330647538645433,7.881799037816929e-11,7.67993439567999e-32,4.968327380556357e-26,1.5665546295227415e-07,1.0582845815728956,0.4595684258584038,0.3980962685411944,0.5525440925852706,0.1795406832119339,0.022990915810032885,3.739866612304081e-14,2.7545898522145246e-08,0.885463391138947,1.1006713564838044,0.7654720093314028,0.0012711983549902042,1.8890783773326272,0.0009143485405349604,1.3228387112505458,93.63117299424871
mg2si_struct_03.vasp,-17.246812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.650637801180602e-278,1.3087636202450587e-203,1.0052527444881691e-140,1.6542871857584987e-89,5.832679714932697e-50,4.406024802213922e-22,7.130949012458471e-06,0.2472687936001467,1.837015724890684e-08,5.870890315416788e-19,0.00018051971447088778,0.11892328482978828,1.6785363101650394e-10,7.528401988859748e-05,0.3710614511529198,3.9184152838944774e-09,8.865366003032815e-29,1.0179624707652378e-35,4.515024545030375e-13,0.042905211702967266,0.008735731745415578,1.117560001674787,7.507416063740264e-06,0.14956096442365593,8.760429153671222e-05,4.765650614576042e-16,0.006233998331078983,0.17475634322952324,1.049592697703083e-11,1.3506108606536747e-33,3.365054669291871e-51,5.008274939747865e-22,0.00015970067462360097,109.34575407828439
mg2si_struct_04.vasp,-34.062642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5442231037321125e-246,1.1472602820000729e-176,1.8261458328042365e-118,6.227740955408136e-72,4.550375201463352e-37,7.123369317092952e-14,0.023891603562737448,0.017168277463285735,2.6431982146280292e-14,8.718752033490462e-38,2.1868816908451365e-22,1.055765142698426e-05,1.0920209080088388,0.2681713599281158,3.29598884905133e-06,0.8102650085825689,0.1853866017711611,1.0807625543635986,0.198340625705193,0.07782416893045209,0.03951708472534526,0.4875609608534369,0.7261991196771537,0.37287344004431316,2.5810954325628117,0.44647927134006843,0.0001366567229902392,93.35194802367428
mg2si_struct_05.vasp,-34.035175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2291325821829284e-275,6.007438441234933e-201,1.828306247347184e-138,1.1921479118327657e-87,1.6654550920349823e-48,4.984909706028948e-21,3.1967100817756644e-05,0.4392085546384803,1.2928850550772723e-08,8.153998464416808e-28,3.8497396755551865e-44,4.041205388720483e-18,0.0009088915568319488,0.4379603557062329,4.521464399907851e-10,3.6859194113934127e-28,8.440569573895394e-09,0.4490530775476449,0.8642954008478867,0.026588364374542352,0.1278414668864538,0.5404909474963517,0.5329220821165879,1.070737216378162,0.5591501433827506,1.5384673235324835,1.7013513282161912,0.09169291611677752,0.5464109175768986,93.53505285075767
mg2si_struct_06.vasp,-33.945754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.95e-322,2.1824498732447982e-241,2.581332980021154e-172,6.541319587381543e-115,3.551471146984626e-69,4.131167449718483e-35,1.0295771414550778e-12,0.0549751686240725,0.006289206195367873,1.5415111916719055e-15,8.095042176691777e-40,1.501315351348813e-34,2.921768573496482e-12,0.12182636517681386,0.010883243475528225,2.0830370215445815e-15,2.2612463321677185e-24,8.771861824390263e-07,1.122038016279619,0.4025454412194442,0.565674065549469,0.28666267876500956,0.013596299152717671,0.6803711708044202,1.349109223522537,1.5484620174001977,2.0545515297508987,0.48929397412526443,0.32528472548378257,0.7977095679186615,93.40423694144502
mg2si_struct_07.vasp,-33.876668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.319469976615485e-296,3.6441992527239974e-219,1.2266963110454648e-153,8.846950328534674e-100,1.367010038342996e-57,4.52555037691313e-27,3.209908765830363e-08,0.48779299468167425,1.588181066922866e-05,1.107862991600368e-21,1.8404164468487922e-49,3.339799266460566e-22,1.2940903854315267e-05,1.074312035927292,1.910811547683341e-07,3.226356833063412e-05,0.43921906422242923,0.4806451333055591,0.03418070348616217,0.0628687906393108,1.2409674043934802e-08,0.7744513765153354,0.4727567582352228,2.5989420758172628,1.1507531761805416,0.009208498898049798,1.5804790288502295,2.7407108330130296,0.4132767476287613,93.35300506243804
mg2si_struct_08.vasp,-33.664535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.270985127635195e-295,1.5720459450521155e-218,4.1659263318426557e-153,2.3652634573237605e-99,2.8771933213473986e-57,7.498599353724741e-27,4.1870952621344436e-08,0.5009185544721244,1.2839348308117068e-05,7.0508329886076875e-22,8.2958226704906575e-50,2.141935657675287e-28,8.681650526737309e-09,0.753910450955827,0.0001402680672371313,5.591385645478086e-20,4.775311225781011e-47,4.293669619292275e-25,2.4786367941450643e-07,0.6932955015813278,0.0013193253269594817,0.28537516717562367,0.10759105042442829,0.7510898412356095,1.7228145421314356,2.963706941747358,0.9760376558093852,1.3392285208619965,0.32953583151639715,0.6205422820178738,93.47167567832518
mg2si_struct_09.vasp,-33.683496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4072264105002783e-264,5.633014863328403e-192,4.831026304865777e-131,8.876862491295529e-82,3.494629733749376e-44,2.947572039826538e-18,0.0005326590054337352,0.2062318343224432,1.710738859536655e-10,3.0404181860372995e-31,4.352576512396968e-41,3.3189871278173883e-16,0.0054223345214846124,0.1897966887392917,1.4233527364260682e-11,3.070760601408101e-13,0.023555868563534796,0.14050004588609094,0.14332738866741435,0.17944706184232848,0.43573649576771495,0.0016613051501870371,0.35294185049876775,0.7348910121628498,1.3229007826981676,2.4025814042737164,1.6132925809551595,0.00030861416203664443,0.35687434288207426,93.52679477779701
mg2si_struct_10.vasp,-33.526514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6488701037569038e-244,5.954223275483998e-175,4.6066516602029554e-117,7.636022795707265e-71,2.7118810977387638e-36,2.0634581108324303e-13,0.03363893633966323,0.011749257937520808,8.792253607092335e-15,1.4096508580957764e-38,2.0545421849259423e-35,9.078700045647081e-13,0.08595157858682811,0.017434344860762705,7.576680822587475e-15,2.022797117956723e-34,1.9530687476294276e-12,0.045777253317826117,0.4744700411592393,0.2784532038200646,0.6474364119489368,0.5061079559565416,0.537091348784387,0.8515871805995889,2.00750046860613,1.1025074260555188,0.6734413210323698,0.7135272557788588,0.7468122254369125,93.351974507451
