X,train_err,train_unc,test_err,test_unc
16.0,0.03602217320976438,0.030857721557748678,0.40530732329890573,0.06668588224016866
32.0,0.06555242673560993,0.038801085487251266,0.42712871996858043,0.12935932952642984
48.0,0.08913255674245721,0.03843830263261156,0.378597426108728,0.11304068863501271
64.0,0.09892055909603178,0.040985180748672204,0.3136909097203089,0.04598119062847201
80.0,0.09391169470843677,0.017599926568571254,0.30231452160280364,0.08702034756407258
96.0,0.08858634787862421,0.019931330744141534,0.279038375678396,0.049790352616213285
112.0,0.10015358053087753,0.015297437301152156,0.2426773916644162,0.0399507307477917
128.0,0.10178367308416006,0.014653147020451947,0.22432332299126204,0.05002172940402442
144.0,0.1020253720532518,0.015342006036863896,0.23654020908051426,0.0659805591212208
160.0,0.10564096369740777,0.010797283392950111,0.21184978325692821,0.03984861745972623
176.0,0.10727394797509385,0.010049424289019438,0.21795251298137405,0.03783845357862989
