X,train_err,train_unc,test_err,test_unc
16.0,0.027111668722802636,0.021113067826901387,0.3680474144330652,0.07618362220945138
32.0,0.04031270192987964,0.0226190963645523,0.3416634955129186,0.06163183823001678
48.0,0.06744190566661545,0.034668133786506135,0.35292517518730954,0.08568732856922029
64.0,0.06446902451727111,0.023667767608587666,0.37117933485593635,0.08421018499265041
80.0,0.09849306845474262,0.025968667179652995,0.37744302577513983,0.08062098251095387
96.0,0.08052752864088245,0.02102902757047017,0.3090964951982952,0.07256128930645786
112.0,0.08437790762439557,0.0167143511566516,0.28163185114986433,0.07489079673488523
128.0,0.08682750493498179,0.022706515231590847,0.2757165817212921,0.05432453713426312
144.0,0.08659798714134652,0.014236950978462087,0.24400871350186887,0.06281430221459416
160.0,0.08531919994296766,0.010384418475116695,0.24860368779486242,0.07472525469410674
176.0,0.08265597977830175,0.007290939419639703,0.2105078108326826,0.050376169719335354
