X,train_err,train_unc,test_err,test_unc,train_r2_mean,train_r2_std,test_r2_mean,test_r2_std
16,0.07449564269469479,0.06811116348167472,0.7693340824091779,0.45690156255686665,0.9896404130579443,0.019244815791490944,0.628563811536662,0.24039678178607468
32,0.14431148635711574,0.04897238044567068,0.5354533920264738,0.21186311409154443,0.9788141754790601,0.01457374633554691,0.7680877764382603,0.14184162302009404
48,0.15466076859978128,0.02544214927213367,0.32115008011155716,0.09135167794153222,0.9773190894256164,0.00776732499117067,0.8981142768931453,0.06955950180575339
64,0.16573977151652577,0.02229971057293583,0.27511406044430164,0.08359343573051663,0.9734463864843709,0.006293390080976793,0.9259291875576622,0.05672626044957629
80,0.16543230024795416,0.015449316035581731,0.24125946595670286,0.018221956153286357,0.9739805174221159,0.005231770039227505,0.943204852032694,0.01137689420993267
96,0.16976662574750823,0.01453768706769535,0.23700733593197143,0.02050298162334346,0.9722415416584771,0.004916600805920836,0.947137366574086,0.009398422802095338
112,0.18166868687155294,0.010899631429280323,0.2194630886127311,0.020454014112456568,0.9683582984654844,0.004149580515209454,0.953161812057405,0.008839737197495309
128,0.18090806768907408,0.01050300877656532,0.2255822957112704,0.029385339763894496,0.9686755440336883,0.0037015548555513374,0.9478634931934216,0.016080445760837506
144,0.18232799612955092,0.009497444197547058,0.21502351234561812,0.027008804502312803,0.9686032915215786,0.0031606462114805766,0.9531775138880206,0.011821702014298986
160,0.18260148121776826,0.008088447483365508,0.21510767909441836,0.039391458366745846,0.9684315001869017,0.0027372399650387865,0.9495390421479215,0.019376007776080294
176,0.18398050563341228,0.00489754180622297,0.21614734291035922,0.05100447484462063,0.9678077680165214,0.0018593371121409506,0.9486575349016451,0.023390741377025667
192,0.1856494987133941,0.0007257649080366851,nan,nan,0.9671461609369564,0.0005350443167707491,nan,nan
