X,train_err,train_unc,test_err,test_unc
16.0,0.032505868947712444,0.022760303815535322,0.3894821206487801,0.08772926996240599
32.0,0.026746790696877038,0.014228802856202247,0.38032399516734583,0.09615129429106269
48.0,0.04915390228139313,0.02050462280281471,0.3350725445084425,0.07781817448234643
64.0,0.0502646591510702,0.02102806148908218,0.31956029754852056,0.06999348040832148
80.0,0.07623405710085365,0.02626215433282296,0.34315461901043387,0.06375028919814604
96.0,0.08665750647956746,0.025342752911897838,0.2952312289136438,0.039994391016644294
112.0,0.08568461087834406,0.02165993347138408,0.2927216246208485,0.05428100696569418
128.0,0.08340226946229798,0.015268800825891788,0.24594488761545427,0.050885889000337414
144.0,0.08799237106103544,0.01215995973340921,0.23698483031997014,0.038297620751028966
160.0,0.08186718424850614,0.015538955382432534,0.23448654926637472,0.05615895577732906
176.0,0.08201150360333004,0.014456294548063226,0.21126072952110797,0.05973048539003852
