ind,Lambda,max packing efficiency,OFM: s^1 - s^2,OFM: s^1 - d^2,OFM: s^2 - s^2,OFM: s^2 - s^1,OFM: p^1 - p^1,OFM: s^1 - d^10,std_dev Gaussian center=1.0 width=1.0,OFM: p^1 - s^1,OFM: s^1 - f^1,OFM: s^1 - p^4,avg d valence electrons,std_dev Gaussian center=6.0 width=1.0,std_dev Gaussian center=4.0 width=1.0,OFM: d^1 - s^1,OFM: s^1 - s^1,std_dev Gaussian center=8.0 width=1.0,OFM: p^4 - s^1,std_dev Gaussian center=3.0 width=1.0,mean Gaussian center=1.0 width=1.0,OFM: s^1 - p^3,mean Gaussian center=2.0 width=1.0,OFM: s^1 - p^1,avg p valence electrons,structural complexity per cell,mean Gaussian center=5.0 width=1.0,mean Gaussian center=3.0 width=1.0,structural complexity per atom,avg f valence electrons,mean Gaussian center=7.0 width=1.0,avg s valence electrons,std_dev Gaussian center=2.0 width=1.0,std_dev Gaussian center=7.0 width=1.0,mean Gaussian center=9.0 width=1.0,std_dev Gaussian center=5.0 width=1.0,OFM: s^1 - d^1,std_dev Gaussian center=9.0 width=1.0,std_dev Gaussian center=0.0 width=1.0,mean Gaussian center=0.0 width=1.0,mean Gaussian center=4.0 width=1.0
332,2.0434782608695654,0.7404804896930608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.621645662665374,0.0,0.0,0.0,0.0485125711680669,0.0,0.1100047620450846,0.0,0.0,0.0,0.0974665505889725,0.0936808917151718,0.0,0.0,0.0987505015714779,1.0,0.0,0.0,0.1019462924995559,0.0,0.0,0.0,0.0,0.0061114510085434,0.1030243051526587
333,2.4057971014492754,0.7404804896930609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6291467996177564,0.0,0.0,0.0,0.0494892734836271,0.0,0.1109143907480303,0.0,0.0,0.0,0.0982377083823905,0.0944611189380719,0.0,0.0,0.0994922680185105,1.0,0.0,0.0,0.1019179377106887,0.0,0.0,0.0,0.0,0.0063195158846722,0.1039571333610041
334,3.1449275362318843,0.7404804896930607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.637901895719581,0.0,0.0,0.0,0.0506413873749476,0.0,0.111974012300395,0.0,0.0,0.0,0.0991509376857816,0.095386789404284,0.0,0.0,0.1003699974108847,1.0,0.0,0.0,0.1018344194852862,0.0,0.0,0.0,0.0,0.0065689830907976,0.1050439119673109
335,1.36,0.304852408532163,0.4874525123507846,0.0,0.0,0.1108986379278434,0.0,0.0,0.0489412983874848,0.0,0.0,0.0,0.0909090909090909,0.0028647225132806,0.0016869250858197,0.1108986379278434,1.5354118325381263,0.0027101352357337,0.0,0.0204588501096678,0.3911511741928693,0.0,0.391822110618471,0.0,0.0,35.57817059703974,0.4007988583988839,0.3875042560065355,1.6171895725927152,1.2727272727272727,0.3922699001127647,1.0909090909090908,0.0085882185252655,0.0089640014466987,0.3928878516571585,0.0121400217885975,0.4874525123507846,0.0087301041210364,0.0816978615373585,0.2751073404587944,0.3950900859272109
336,0.74,0.5560786896997786,0.7409927282521519,0.0,0.0149968093718594,0.7081070625917443,0.0,0.0,0.0100568424122138,0.0,0.0,0.0,0.0,0.000832844540378,0.000810895589628,0.0,1.1538936510030775,0.0009286869692715,0.0,0.0031436049652946,0.271246457239804,0.0,0.2929544059382597,0.0,0.0,13.651484454403226,0.2939709783051087,0.2945834068731639,1.9502120649147463,0.0,0.2940756250593986,1.2857142857142858,0.0017321266993652,0.0013524715269151,0.2910261156903284,0.0020813495559091,0.0,0.0019947504790942,0.0103966914919159,0.1337177666242502,0.2939552602726925
337,0.98,0.4671972231895874,0.6466814430442988,0.0,0.0,0.5027442593022688,0.0,0.0,0.0135024165105749,0.0,0.0,0.0,0.0,0.0024879561920946,0.0027587565217794,0.0,1.2136338805823683,0.0027178731687844,0.0,0.0070967349589211,0.3152029088672677,0.0,0.334864166865472,0.0,0.0,20.529325012980813,0.3366437374134036,0.336496121693816,2.281036112553424,0.0,0.3367020803626935,1.2222222222222223,0.0009785335268044,0.0018810447073816,0.3402209105700791,0.0041072548049141,0.0,0.001618511614962,0.0436991063500022,0.1802453879290106,0.3361759516775024
338,0.512,0.5167879640665854,0.6777870283684923,0.0,0.0,0.560498881304341,0.0,0.0,0.0205980202773017,0.0,0.0,0.0,0.0769230769230769,0.0032442723818817,0.0051878233878158,0.2122695303162001,1.280566555797481,0.0036327598665999,0.0,0.0020381871763745,0.2913074142030974,0.0,0.3113671732883718,0.0,0.0,36.1057163358342,0.3110252875678725,0.3133421998257386,2.7773627950641693,0.0,0.3128641360499756,1.2307692307692308,0.0116394641172837,0.0019337730526654,0.3150870232159465,0.0056348853822463,0.2529883209864813,0.0036943164411981,0.0426342939611574,0.1555539760383623,0.3118706328259776
339,0.33,0.4701671786641839,0.0,0.0,1.8075522556083696,0.0,0.9144996188887244,0.0,0.0211647451132181,0.0,0.0,0.0,0.0,0.0016526329312206,0.0032037356624881,0.0,0.0,0.0026113936541936,0.0,0.0064675772670521,0.1020954347296162,0.0,0.1407450381319485,0.0,0.7692307692307693,28.1057163358342,0.1394711291965153,0.1371729823971631,2.161978179679554,0.0,0.1374819907053566,2.0,0.0079861217143734,0.0031927695162209,0.1396223011223044,0.0041508081447933,0.0,0.0028659914057356,0.0161581648097992,0.03780637244754,0.136365048025577
340,0.5951648351648351,0.4871642936893464,0.0,0.0,1.87272502872581,0.0,0.5957898393225874,0.0,0.0144394707918844,0.0,0.0,0.0,0.0,0.0016524921391359,0.0042265215212381,0.0,0.0,0.0028086602330475,0.0,0.0032275485488784,0.0612339653296377,0.0,0.1064514752044728,0.0,0.6666666666666666,2.7548875021634687,0.1070777789092655,0.1029649741943861,0.9182958340544896,0.0,0.1065757373950427,2.0,0.0072178110269396,0.0007804504239019,0.1087447126844453,3.780177605003119e-05,0.0,0.0021661221927536,0.009839203660832,0.0181612148204043,0.1032360469213187
341,0.5371428571428571,0.488074491714671,0.0,0.0,1.908309007183116,0.0,0.6056329935717869,0.0,0.0138999469275174,0.0,0.0,0.0,0.0,0.0020356678603102,0.0040752978570167,0.0,0.0,0.0021269192886766,0.0,0.0019586070097973,0.0678868340149979,0.0,0.1136864316307652,0.0,0.6666666666666666,2.7548875021634687,0.1121693818703128,0.1087425514808891,0.9182958340544896,0.0,0.1125859372155577,2.0,0.008216825107994,0.0004263169436827,0.1157011821602299,0.0003979446012922,0.0,0.0029490703807921,0.010665813290925,0.0206730715718457,0.1110142625180285
